emperor;Emperor;;;;;;;;;;;;;
emperor_adj;Emperor;;;;;;;;;;;;;
emperor_desc;Emperor;;;;;;;;;;;;;
king;King;;;;;;;;;;;;;
king_adj;King;;;;;;;;;;;;;
king_desc;King;;;;;;;;;;;;;
duke;Duke;;;;;;;;;;;;;
duke_adj;Duke;;;;;;;;;;;;;
duke_desc;Duke;;;;;;;;;;;;;
count;Count;;;;;;;;;;;;;
count_adj;Count;;;;;;;;;;;;;
count_desc;Count;;;;;;;;;;;;;
baron;Baron;;;;;;;;;;;;;
baron_adj;Baron;;;;;;;;;;;;;
baron_desc;Baron;;;;;;;;;;;;;
mayor;Mayor;;;;;;;;;;;;;
mayor_adj;Mayor;;;;;;;;;;;;;
mayor_desc;Mayor;;;;;;;;;;;;;
barbarian;Lapasan;;;;;;;;;;;;;
barbarian_adj;Lapasan;;;;;;;;;;;;;
barbarian_desc;Lapasan;;;;;;;;;;;;;
norse;Sunla;;;;;;;;;;;;;
norse_adj;Sunla;;;;;;;;;;;;;
norse_desc;Sunla;;;;;;;;;;;;;
pagan;Yta;;;;;;;;;;;;;
pagan_adj;Yta;;;;;;;;;;;;;
pagan_desc;Yta;;;;;;;;;;;;;
christian;Taera;;;;;;;;;;;;;
christian_adj;Taera;;;;;;;;;;;;;
christian_desc;Taera;;;;;;;;;;;;;
pagan_DESC;All praise the almighty Ajuvk!;;;;;;;;;;;;;
pagan_DESC_adj;All praise the almighty Ajuvk!;;;;;;;;;;;;;
pagan_DESC_desc;All praise the almighty Ajuvk!;;;;;;;;;;;;;
qav;Qav;;;;;;;;;;;;;
qav_adj;Qav;;;;;;;;;;;;;
qav_desc;Qav;;;;;;;;;;;;;
wavaiya;Wavaiya;;;;;;;;;;;;;
wavaiya_adj;Wavaiya;;;;;;;;;;;;;
wavaiya_desc;Wavaiya;;;;;;;;;;;;;
baiya;Baiya;;;;;;;;;;;;;
baiya_adj;Baiya;;;;;;;;;;;;;
baiya_desc;Baiya;;;;;;;;;;;;;
rotuaya;Rotuaya;;;;;;;;;;;;;
rotuaya_adj;Rotuaya;;;;;;;;;;;;;
rotuaya_desc;Rotuaya;;;;;;;;;;;;;
ekarcus;Ekâarcus;;;;;;;;;;;;;
ekarcus_adj;Ekâarcus;;;;;;;;;;;;;
ekarcus_desc;Ekâarcus;;;;;;;;;;;;;
tira;Tirâa;;;;;;;;;;;;;
tira_adj;Tirâa;;;;;;;;;;;;;
tira_desc;Tirâa;;;;;;;;;;;;;
teka;Teka;;;;;;;;;;;;;
teka_adj;Teka;;;;;;;;;;;;;
teka_desc;Teka;;;;;;;;;;;;;
aperu;Aperu;;;;;;;;;;;;;
aperu_adj;Aperu;;;;;;;;;;;;;
aperu_desc;Aperu;;;;;;;;;;;;;
rull;Rull;;;;;;;;;;;;;
rull_adj;Rull;;;;;;;;;;;;;
rull_desc;Rull;;;;;;;;;;;;;
deru;Deru;;;;;;;;;;;;;
deru_adj;Deru;;;;;;;;;;;;;
deru_desc;Deru;;;;;;;;;;;;;
lata;Lata;;;;;;;;;;;;;
lata_adj;Lata;;;;;;;;;;;;;
lata_desc;Lata;;;;;;;;;;;;;
waa;Waña;;;;;;;;;;;;;
waa_adj;Waña;;;;;;;;;;;;;
waa_desc;Waña;;;;;;;;;;;;;
lira;Lira;;;;;;;;;;;;;
lira_adj;Lira;;;;;;;;;;;;;
lira_desc;Lira;;;;;;;;;;;;;
watl;Watl;;;;;;;;;;;;;
watl_adj;Watl;;;;;;;;;;;;;
watl_desc;Watl;;;;;;;;;;;;;
